Ano;Mes;UF;IMPOSTO SOBRE IMPORTACAO;IMPOSTO SOBRE EXPORTACAO;IPI - FUMO;IPI - BEBIDAS;IPI - AUTOMOVEIS;IPI - VINCULADO  IMPORTACAO;IPI - OUTROS
2000;Julho;PB;1673612;0;1650188;3483522;0;868001;1479171
2000;Julho;PR;76444547;0;7415458;6068083;27157190;44543638;35732633
2000;Julho;PE;10110375;0;5432741;6182330;0;3897442;8813962
2000;Julho;PI;259850;0;771878;1612471;0;51810;328866
2000;Julho;RJ;49227365;0;21212434;21742734;3100402;28221234;57371222
2000;Julho;RN;852298;0;1599065;935803;5439;431283;508281
2000;Julho;RS;30533664;5863;19299339;9718699;1050;18421398;60798597
2000;Julho;RO;2428;18;634810;0;7034;408;52932
2000;Julho;RR;4105;0;222151;0;0;543;1935
2000;Julho;SC;15133075;13771;4713348;2632327;0;9379612;18057298
2000;Julho;SP;380637538;13610;52645437;52577225;125581465;210729265;355720601
2000;Julho;SE;839909;0;915688;2873735;0;304639;1090619
2000;Julho;TO;30443;0;367736;137586;0;57466;90649
2000;Agosto;AC;514;0;278217;0;0;0;12191
2000;Agosto;AL;209961;17837;1090073;704647;0;41709;2386760
2000;Agosto;AP;48620;0;358210;1976;373;47183;2920
2000;Agosto;AM;15839749;0;1384203;1863009;0;2751119;913686
2000;Agosto;BA;15695880;0;4512132;9686498;0;18670185;22755669
2000;Agosto;CE;5974802;0;3833609;3808631;75;2236561;3876623
2000;Agosto;DF;2756539;48;3132857;3218427;115;1774013;1292015
2000;Agosto;ES;68270325;14;2858097;79795;4130170;45249762;8782222
2000;Agosto;GO;10659518;0;2888470;4448093;0;7145307;3029853
2000;Agosto;MA;4348953;251;942250;3069697;0;190381;1438950
2000;Agosto;MT;780772;0;1520977;2115429;0;166702;596595
2000;Agosto;MS;326631;554;773403;333397;0;58666;605037
2000;Agosto;MG;43258844;35;13405544;10099581;57566642;20813519;51419164
2000;Agosto;PA;3800357;1624;2320134;1209333;0;1523715;1135169
2000;Agosto;PB;1323504;0;1612943;3655483;0;1002283;1615395
2000;Agosto;PR;87102830;0;1604829;5225058;30943208;50721044;34201291
2000;Agosto;PE;9254562;0;5058509;4590443;0;3099469;10408791
2000;Agosto;PI;359136;0;778937;1863154;0;183209;373108
2000;Agosto;RJ;63163202;18;20452811;23365989;4576205;30885164;47892756
2000;Agosto;RN;754614;0;1455228;1187444;122;263571;463222
2000;Agosto;RS;36369075;5649;19153323;8473164;456176;20617543;61470221
2000;Agosto;RO;47081;0;625989;0;811;21985;78425
2000;Agosto;RR;3199;0;241436;0;0;0;4649
2000;Agosto;SC;16511953;13412;10198333;2795764;0;12481504;21316741
2000;Agosto;SP;426522221;199;51221405;49698437;124227377;244696998;362906183
2000;Agosto;SE;844711;0;946653;3856515;0;472797;1122896
2000;Agosto;TO;101519;0;373848;71235;0;4957;74078
2000;Setembro;AC;296;0;310137;0;0;91;10260
2000;Setembro;AL;699893;17966;1233783;835577;0;80798;1893992
2000;Setembro;AP;29380;0;359282;3552;0;24579;1848
