Checksum Id Operacao;Data do Inicio;Data da Deflagracao;Tipo de Operacao;Area;Sigla Unidade Federativa;Sigla Unidade Institucional;Atuacao em Territorio Indigena;Atuacao em Territorio de Fronteira;Qtd Prisao em Flagrante;Qtd Prisao Preventiva;Qtd Prisao Temporaria;Qtd Mandado de Busca e Apreesao;Qtd Valores Apreendidos;Qtd Valores Apreendidos i11;Qtd Valores Descapitalizados;Qtd Prejuizos Causados a Uniao;Proib Ausentar Comarca;Proib Acesso ou Freq;Comparecimento Juizo;Qtd Fianca;Qtd Internacao Prov;Proib Contato;Mand Jud Caut Assec;Recol Domic Noturno;Susp Ex Func Pub A E;Monit Eletronica
7609c331764e97efd18b1a640e5fac62;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;SP;SR/PF/SP                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
8731805a634560320dd02b139730d3fa;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;SP;SR/PF/SP                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
c9b4d18e5febf76988c0de32bb726436;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;SP;SR/PF/SP                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
30a4b2d5152d94448dbd360a7bdcb68f;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;SP;SR/PF/SP                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
98327e73b9a0249a1b27eeff2e437ced;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;SP;DPF/SOD/SP                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
4a13e9a68813b5053c0b0af47f83fdb0;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;SP;DPF/STS/SP                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
081f23596e2eead52bc65dbaf3299fb5;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;SP;SR/PF/SP                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
77a2b1ea07497f3975b1377d3a7a85cb;05/12/2023;05/12/2023;Operacao Simples ;Crimes Fazendários                                                                                                              ;RS;DPF/CXS/RS                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$13.642,60;;;R$25.062,52;0;0;0;0;0;0;0;0;0;0
9c7976873dc6b64a3a6fa4e08f4d9b59;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;SP;SR/PF/SP                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
5337c7a970c33dfae5f48ff10d84ead7;05/12/2023;05/12/2023;Operacao de Apoio;Crimes Fazendários                                                                                                              ;MA;SR/PF/MA                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
4cf74c95df34543911a6329e3d1a2e6a;05/12/2023;05/12/2023;Operacao de Apoio;Crimes Fazendários                                                                                                              ;SC;SR/PF/SC                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
3ca08b947fd6786641be70220e5c5aae;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;MG;SR/PF/MG                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
6b94e9cbab99b5338004f0a0598f980e;05/12/2023;05/12/2023;Operacao de Apoio;Tráfico de Armas                                                                                                                ;MG;SR/PF/MG                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
a47172d3fb2eb256bed795e5a1567651;05/12/2023;05/12/2023;Operacao Simples ;Crimes de Ódio e Pornografia Infantil                                                                                           ;SC;DPF/CCM/SC                                                      ;Nao;                                                                                                                                ;1;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
d0f5ea11250c3d5d8b68119b4629ac21;05/12/2023;05/12/2023;Operacao de Apoio;Crimes da Alta Tecnologia                                                                                                       ;MT;DPF/BRG/MT                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
