codigo_ocorrencia2;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_pmd;aeronave_pmd_categoria;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
82796;PSGPF;***;AVIÃO;BOEING COMPANY;737-8 MAX;Boeig;;BIMOTOR;82190;82190;0;0;BRASIL;BRASIL;AVIÃO;REGULAR;MINISTRO VICTOR KONDER;CONGONHAS;TÁXI;REGULAR;NENHUM;0
82795;PRMYC;***;AVIÃO;AIRBUS INDUSTRIE;A319-112;A319;JATO;BIMOTOR;75500;75500;154;2008;BRASIL;BRASIL;AVIÃO;REGULAR;SANTOS DUMONT;CONGONHAS;DECOLAGEM;REGULAR;LEVE;0
82794;PRTYI;***;AVIÃO;AIRBUS S.A.S.;A320-214;A320;***;SEM TRAÇÃO;78000;78000;0;2014;BRASIL;BRASIL;AVIÃO;REGULAR;GOVERNADOR ANDRÉ FRANCO MONTORO;ADALBERTO MENDES DA SILVA;POUSO;REGULAR;NENHUM;0
82793;PRMHJ;***;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2007;BRASIL;BRASIL;AVIÃO;REGULAR;MÁRIO RIBEIRO;GOVERNADOR ANDRÉ FRANCO MONTORO;DECOLAGEM;REGULAR;NENHUM;0
82792;PRXBA;***;AVIÃO;AIRBUS INDUSTRIE;A320-271N;A320;JATO;BIMOTOR;79000;79000;183;2019;BRASIL;BRASIL;AVIÃO;REGULAR;PROFESSOR ERIBERTO MANOEL REINO;GOVERNADOR ANDRÉ FRANCO MONTORO;DECOLAGEM;REGULAR;NENHUM;0
82791;PRMYC;***;AVIÃO;AIRBUS INDUSTRIE;A319-112;A319;JATO;BIMOTOR;75500;75500;154;2008;BRASIL;BRASIL;AVIÃO;REGULAR;GOVERNADOR ANDRÉ FRANCO MONTORO;REGIONAL HUGO CANTERGIANI;POUSO;REGULAR;NENHUM;0
82790;PSAEL;***;AVIÃO;EMBRAER;ERJ 190-400;***;JATO;BIMOTOR;61200;61200;0;2022;BRASIL;BRASIL;AVIÃO;REGULAR;VIRACOPOS;ANTONIO CARLOS JOBIM / GALEÃO;POUSO;REGULAR;LEVE;0
82789;PTXPL;***;AVIÃO;AIRBUS S.A.S.;A321-211;A321;***;***;89000;89000;NULL;2015;BRASIL;BRASIL;AVIÃO;REGULAR;SALGADO FILHO;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;REGULAR;NENHUM;0
82788;PTXPJ;***;AVIÃO;AIRBUS S.A.S.;A321-211;A321;***;***;89000;89000;NULL;2015;BRASIL;BRASIL;AVIÃO;REGULAR;CAMPO GRANDE;GOVERNADOR ANDRÉ FRANCO MONTORO;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
82787;PRMHI;***;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2007;BRASIL;BRASIL;AVIÃO;REGULAR;MARECHAL RONDON;CONGONHAS;DECOLAGEM;REGULAR;NENHUM;0
82786;PRTQB;***;AVIÃO;AIRBUS S.A.S.;A320-214;A320;JATO;BIMOTOR;78000;78000;0;2011;BRASIL;BRASIL;AVIÃO;REGULAR;GOVERNADOR ANDRÉ FRANCO MONTORO;SERAFIN ENOSS BERTASO;POUSO;REGULAR;NENHUM;0
82785;PRGUF;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;193;2010;BRASIL;BRASIL;AVIÃO;REGULAR;CONGONHAS;PRESIDENTE JUSCELINO KUBITSCHEK;POUSO;REGULAR;NENHUM;0
82784;PSGPK;***;AVIÃO;BOEING;737-8 MAX;DC2;;BIMOTOR;82644;82644;0;2022;BRASIL;BRASIL;AVIÃO;REGULAR;DEPUTADO LUÍS EDUARDO MAGALHÃES;PRESIDENTE JUSCELINO KUBITSCHEK;POUSO;REGULAR;LEVE;0
82783;PRXMD;***;AVIÃO;BOEING COMPANY;737-8 MAX;B38M;JATO;BIMOTOR;82190;82190;196;2018;BRASIL;BRASIL;AVIÃO;REGULAR;PRESIDENTE JUSCELINO KUBITSCHEK;EURICO DE AGUIAR SALLES;DECOLAGEM;REGULAR;NENHUM;0
82782;PRYYL;***;AVIÃO;AIRBUS S.A.S.;A320-251N;A20N;JATO;BIMOTOR;79000;79000;NULL;2016;BRASIL;BRASIL;AVIÃO;REGULAR;VIRACOPOS;SENADOR PETRÔNIO PORTELLA;POUSO;REGULAR;NENHUM;0
82781;PRAKD;***;AVIÃO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;23000;23000;75;0;BRASIL;BRASIL;AVIÃO;REGULAR;PELOTAS;SALGADO FILHO;DECOLAGEM;REGULAR;NENHUM;0
82780;PTTMA;***;AVIÃO;AIRBUS INDUSTRIE;A319-132;A319;JATO;BIMOTOR;75500;75500;154;2009;BRASIL;BRASIL;AVIÃO;REGULAR;GOVERNADOR ANDRÉ FRANCO MONTORO;BRIGADEIRO LYSIAS RODRIGUES;POUSO;REGULAR;NENHUM;0
82779;PRYSF;***;AVIÃO;AIRBUS S.A.S.;A320-251N;A20N;***;***;77000;77000;NULL;2019;BRASIL;BRASIL;AVIÃO;REGULAR;GOVERNADOR ANDRÉ FRANCO MONTORO;SALGADO FILHO;POUSO;REGULAR;NENHUM;0
82778;PRXMP;***;AVIÃO;BOEING COMPANY;737-248C;B732;;BIMOTOR;65990;65990;0;0;BRASIL;BRASIL;AVIÃO;REGULAR;PRESIDENTE JUSCELINO KUBITSCHEK;PLÁCIDO DE CASTRO;POUSO;REGULAR;NENHUM;0
82777;PRAKA;***;AVIÃO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;23000;23000;0;2015;BRASIL;BRASIL;AVIÃO;REGULAR;SALGADO FILHO;MINISTRO VICTOR KONDER;DECOLAGEM;REGULAR;NENHUM;0
82776;PRAKM;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A (600);ATR76;***;SEM TRAÇÃO;23000;23000;0;2021;BRASIL;BRASIL;AVIÃO;REGULAR;SÍLVIO NAME JÚNIOR;VIRACOPOS;DECOLAGEM;REGULAR;NENHUM;0
82775;PRXBH;***;AVIÃO;CESSNA AIRCRAFT;A188B;C188;;MONOMOTOR;1497;1497;0;0;BRASIL;BRASIL;AVIÃO;REGULAR;ALBERTO ALCOLUMBRE;PRESIDENTE JUSCELINO KUBITSCHEK;DECOLAGEM;REGULAR;NENHUM;0
82774;PRMHX;***;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2008;BRASIL;BRASIL;AVIÃO;REGULAR;SÍLVIO NAME JÚNIOR;GOVERNADOR ANDRÉ FRANCO MONTORO;DECOLAGEM;REGULAR;NENHUM;0
82773;PRXMT;***;AVIÃO;CIRRUS DESIGN;SR22;SR22;;MONOMOTOR;1542;1542;0;0;BRASIL;BRASIL;AVIÃO;REGULAR;DEPUTADO LUÍS EDUARDO MAGALHÃES;ANTONIO CARLOS JOBIM / GALEÃO;POUSO;REGULAR;NENHUM;0
